Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
villa di komplek pacific palace ( sunggal ),Rp 1.295.000.000,3,121.0,90,"Jalan Tapian Nauli 1, Pasar Merah Barat Kel., Medan Kota, Medan, 20217, Indonesia Medan Sunggal, Medan",2025-04-27T14:33:41.071509
dijual rumah villa mediterania golf sentul city,Rp 4.500.000.000,4,300.0,322,"Sentul City, Bogor",2025-04-27T14:33:41.346383
rumah city view siap huni kota madya bandung,Rp 449.000.000,2,37,101,"Ujung Berung, Bandung",2025-04-27T14:33:41.580033
"rumah mewah 3,5 lantai di green garden fullyfurnised,siap huni!",Rp 6.750.000.000,6,525,200,"Kedoya Utara, Jakarta Barat",2025-04-27T14:33:41.874051
rumah murah lengkap private pool siap huni dekat kahuripan nirwana,Rp 1.566.000.000,3,180,126,"Buduran, Sidoarjo",2025-04-27T14:33:42.310997
dijual rumah murah di discovery bintaro jaya tangerang selatan,Rp 4.600.000.000,3,233,120,"Bintaro, Tangerang Selatan",2025-04-27T14:33:42.582345
rumah baru di metland menteng costaria jakarta timur,Rp 3.193.000.000,4,108,105,"Cakung, Jakarta Timur",2025-04-27T14:33:42.893679
rumah dijual bandung 2 lantai type 70/70 lantai kayu parket 600jtan,Rp 615.000.000,2,70,70,"Cileunyi Cileunyi, Bandung",2025-04-27T14:33:43.216954
rumah murah lahan luas 224 m2 di perumahan cluster gentan,Rp 999.000.000,8,275,224,"Gentan, Sukoharjo",2025-04-27T14:33:43.491918
super luxury villa los pantai saba gianyar bali investasi ideal,Rp 42.000.000.000,6,1500,2335,"Gianyar, Gianyar",2025-04-27T14:33:43.730122
jual cepat murah town house jalan gunung batu pasteur 10 menit tol,Rp 2.500.000.000,3,150,65,"Jalan Gunung Batu & Jalan Pasteur Indah, Sukaraja Kel., Cicendo, Bandung Kota, 40175, Indonesia Pasteur, Bandung",2025-04-27T14:33:44.003139
"huniah muslim strategis, bebas banjir, shm, fasilitas islami lengkap",Rp 815.000.000,3,56,55,"JL. K.H Muchtar Tabrani Bekasi Utara, Bekasi",2025-04-27T14:33:44.294808
dijual cepat rumah di executive paradise townhouse - p antasari,Rp 30.000.000.000,6,524,781,"Jl. Paradise III, Executive Paradise Townhouse Cilandak, Jakarta Selatan",2025-04-27T14:33:44.570298
rumah 2 lantai murah siap huni dharma husada mas surabaya timur,Rp 1.900.000.000,4,200,120,"Dharma Husada, Surabaya",2025-04-27T14:33:44.905647
rumah cantik kebraon surabaya,Rp 2.400.000.000,5,214,150,"Kebraon, Surabaya",2025-04-27T14:33:45.219930
rumah baru 2lantai free biaya dan cicilan 6 bulan di pamulang tangsel,Rp 1.200.000.000,3,100,83,"Pondok benda Pamulang, Tangerang Selatan",2025-04-27T14:33:45.508459
rumah dijual brand new murah,Rp 700.000.000,2,55,40,"Cengkareng Barat, Jakarta Barat",2025-04-27T14:33:45.635181
"rumah murah 2 lantai, akses tol dan stasiun, taman cimanggu kota bogor",Rp 1.195.000.000,5,150,96,"Tanah Sareal, Bogor",2025-04-27T14:33:45.770825
rumah mewah dinding bata merah pinggir jalan raya 10 menit lrt cibubur,Rp 892.000.000,3,82,60,"LRT Cibubur Cimanggis, Depok",2025-04-27T14:33:45.945090
"3 lantai di bintaro siap huni, shm, bf 10 juta free biaya lainnya",Rp 1.792.000.000,4,130,60,"Jln. Jurangmangu Barat, Pondok Aren, Tangerang Selatan Bintaro, Jakarta Selatan",2025-04-27T14:33:46.099019
jual rumah di puspitaloka bsd serpong,Rp 11.800.000.000,4,485,343,"Puspita Loka BSD Serpong Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:46.374743
dijual rumah baru gress 2 lantai,Rp 2.500.000.000,3,136,91,"Kalisari Dharma Pakuwon, Surabaya",2025-04-27T14:33:46.502118
rumah murah baru renov di pinus regency soekarno hatta lb 250,Rp 1.500.000.000,5,250,189,"Grand Pinus Regency Cinambo, Bandung",2025-04-27T14:33:46.634688
rumah siap huni di kota bogor tanah luas design modern klasik,Rp 1.150.000.000,3,110,109,"Bogor Barat - Kota, Bogor",2025-04-27T14:33:46.949534
rumah murah di perumahan jaten papahan karanganyar,Rp 275.000.000,2,36,70,"Jaten, Karanganyar",2025-04-27T14:33:47.072592
rumah murah komplek riung bandung 3rts jutaan,Rp 385.000.000,2,55,66,"Riung Bandung Rancasari, Bandung",2025-04-27T14:33:55.550995
dijual cepat rumah & ada usaha salon aktif ramai harga bu di komplek,Rp 3.500.000.000,4,375,269,"Perum Bukit Nusa Indah Ciputat, Tangerang Selatan",2025-04-27T14:33:55.790542
dijual villa mewah view laut di komplek aman tanjung benoa – nusa dua,Rp 26.900.000.000,3,500,900,"Tanjung Benoa, Badung",2025-04-27T14:33:55.884249
rumah murah terawat siap huni nirwana eksekutif surabaya timur,Rp 1.600.000.000,8,200,160,"Wonorejo, Surabaya",2025-04-27T14:33:55.995666
"best price rumah 3 lantai di bintaro, all in 10 juta akad kredit",Rp 1.792.000.000,4,130,60,"Jln. Jurangmangu Barat, Pondok Aren, Tangerang Selatan Pamulang, Tangerang Selatan",2025-04-27T14:33:56.100404
butuh jual cepat rumah dijual puri bintaro jaya bagus siap huni,Rp 3.500.000.000,3,160,180,"Puri Bintaro Bintaro, Tangerang Selatan",2025-04-27T14:33:56.217001
dijual rumah 2 lantai di pondok petir,Rp 884.080.000,3,65,60,"Cluster Gardenia Park Pamulang, Tangerang Selatan",2025-04-27T14:33:56.317012
rumah baru digriya permai legok kpr tanpa dp free biaya surat,Rp 269.000.000,2,35,60,"Legok, Tangerang",2025-04-27T14:33:56.433593
"3 lantai di bintaro, shm, siap huni, uang tanda jadi 10 free lainnya.",Rp 1.792.000.000,4,130,60,"Jln. Jurangmangu Barat, Pondok Aren, Tangerang Selatan Bintaro, Tangerang Selatan",2025-04-27T14:33:56.550540
rumah dharmahusada mas surabaya murah sam.a946,Rp 1.900.000.000,3,200,120,"Kertajaya, Surabaya",2025-04-27T14:33:56.650752
dijual villa freehold lokasi strategis di seminyak,Rp 6.000.000.000,3,200,115,"Seminyak, Badung",2025-04-27T14:33:56.769526
rumah murah di serengan solo kota siap huni,Rp 625.000.000,3,83,103,"Joyotakan, Solo",2025-04-27T14:33:56.878132
rumah minimalis 2 lantai siap huni royal residence surabaya barat,Rp 3.290.000.000,5,250,175,"Wiyung, Surabaya",2025-04-27T14:33:56.979134
rumah 900 jutaan di kawasan shila sawangan,Rp 957.000.000,2,62,50,"Toko Bangunan Depok Terlengkap - Mitra10 Shila Sawangan Sawangan, Depok",2025-04-27T14:33:57.091725
rumah bbangunan mandiri dan baru di bsd city,Rp 8.900.000.000,6,540,293,"Serpong, Tangerang Selatan",2025-04-27T14:33:57.203198
h01 rumah bagus 184 m2 siap huni rawamangun jakarta timur,Rp 5.250.000.000,5,220,184,"Rawamangun, Jakarta Timur",2025-04-27T14:33:57.312545
cluster armont di bsd city tipe 9 harga 6 miliaran,Rp 6.700.000.000,5,275,154,"BSD City Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:57.415227
dijual rumah cantik ciputat tangerang,Rp 2.700.000.000,4,350,217,"Ciputat, Tangerang Selatan",2025-04-27T14:33:57.527121
rumah kos ekslusive kota malang dijual murah,Rp 1.200.000.000,10,186,105,"Landungsari Lowokwaru, Malang",2025-04-27T14:33:57.738981
jarang ada rumah 400 jutaan di cimahi permana dkt ciawitali rs cibabat,Rp 399.950.000,2,36,71,"Lembang, West Bandung",2025-04-27T14:33:58.028195
